source_doc,eval_type,eval_method,variant,score,duration
1,Graph-based,AutoSummENG,inserted_sentence_0.1,0.806453,16.61713409423828
1,Graph-based,MeMoG,inserted_sentence_0.1,0.806453,16.61713409423828
1,Meta,NPowER,inserted_sentence_0.1,0.727677,16.61713409423828
1,Embeddings-based,BERTScore,inserted_sentence_0.1,0.6805734634399414,0.9600486755371094
1,N-gram,Rouge1,inserted_sentence_0.3,0.9309890936442271,0.02530670166015625
1,N-gram,Rouge2,inserted_sentence_0.3,0.9247696069211961,0.04754066467285156
1,Graph-based,AutoSummENG,inserted_sentence_0.3,0.749597,18.436788082122803
1,Graph-based,MeMoG,inserted_sentence_0.3,0.749597,18.436788082122803
1,Meta,NPowER,inserted_sentence_0.3,0.680511,18.436788082122803
1,Embeddings-based,BERTScore,inserted_sentence_0.3,0.7004135251045227,1.0017383098602295
1,N-gram,Rouge1,inserted_sentence_0.5,0.9309890936442271,0.027566194534301758
1,N-gram,Rouge2,inserted_sentence_0.5,0.9247696069211961,0.03340864181518555
1,Graph-based,AutoSummENG,inserted_sentence_0.5,0.750381,18.284010887145996
1,Graph-based,MeMoG,inserted_sentence_0.5,0.750381,18.284010887145996
1,Meta,NPowER,inserted_sentence_0.5,0.681161,18.284010887145996
1,Embeddings-based,BERTScore,inserted_sentence_0.5,0.6304889917373657,0.9922635555267334
1,N-gram,Rouge1,inserted_sentence_0.7,0.9309890936442271,0.04064369201660156
1,N-gram,Rouge2,inserted_sentence_0.7,0.9247696069211961,0.03383159637451172
1,Graph-based,AutoSummENG,inserted_sentence_0.7,0.749938,17.727465391159058
1,Graph-based,MeMoG,inserted_sentence_0.7,0.749938,17.727465391159058
1,Meta,NPowER,inserted_sentence_0.7,0.680794,17.727465391159058
1,Embeddings-based,BERTScore,inserted_sentence_0.7,0.6634258031845093,0.9841015338897705
1,N-gram,Rouge1,inserted_sentence_0.9,0.9309890936442271,0.039370059967041016
1,N-gram,Rouge2,inserted_sentence_0.9,0.9247696069211961,0.03279852867126465
1,Graph-based,AutoSummENG,inserted_sentence_0.9,0.749269,17.865344047546387
1,Graph-based,MeMoG,inserted_sentence_0.9,0.749269,17.865344047546387
1,Meta,NPowER,inserted_sentence_0.9,0.680238,17.865344047546387
1,Embeddings-based,BERTScore,inserted_sentence_0.9,0.6631921529769897,1.0154178142547607
1,N-gram,Rouge1,randomly_swapped_words_0.1,1.0,0.02235579490661621
1,N-gram,Rouge2,randomly_swapped_words_0.1,0.8387615601125854,0.04649209976196289
1,Graph-based,AutoSummENG,randomly_swapped_words_0.1,0.676684,15.297019004821777
1,Graph-based,MeMoG,randomly_swapped_words_0.1,0.676684,15.297019004821777
1,Meta,NPowER,randomly_swapped_words_0.1,0.620024,15.297019004821777
1,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.9409886598587036,0.9018487930297852
1,N-gram,Rouge1,randomly_swapped_words_0.3,1.0,0.029375314712524414
1,N-gram,Rouge2,randomly_swapped_words_0.3,0.6184157619622035,0.022935152053833008
1,Graph-based,AutoSummENG,randomly_swapped_words_0.3,0.576270,16.806941032409668
1,Graph-based,MeMoG,randomly_swapped_words_0.3,0.576270,16.806941032409668
1,Meta,NPowER,randomly_swapped_words_0.3,0.536722,16.806941032409668
1,Embeddings-based,BERTScore,randomly_swapped_words_0.3,0.8357223272323608,0.8895597457885742
1,N-gram,Rouge1,randomly_swapped_words_0.5,1.0,0.022663593292236328
1,N-gram,Rouge2,randomly_swapped_words_0.5,0.47909127462806594,0.03177809715270996
1,Graph-based,AutoSummENG,randomly_swapped_words_0.5,0.516529,16.494364738464355
1,Graph-based,MeMoG,randomly_swapped_words_0.5,0.516529,16.494364738464355
1,Meta,NPowER,randomly_swapped_words_0.5,0.487162,16.494364738464355
1,Embeddings-based,BERTScore,randomly_swapped_words_0.5,0.7494891881942749,0.8890278339385986
1,N-gram,Rouge1,randomly_swapped_words_0.7,1.0,0.03498268127441406
1,N-gram,Rouge2,randomly_swapped_words_0.7,0.40028146361077604,0.04584455490112305
1,Graph-based,AutoSummENG,randomly_swapped_words_0.7,0.485512,17.15801477432251
1,Graph-based,MeMoG,randomly_swapped_words_0.7,0.485512,17.15801477432251
1,Meta,NPowER,randomly_swapped_words_0.7,0.461431,17.15801477432251
1,Embeddings-based,BERTScore,randomly_swapped_words_0.7,0.7130409479141235,0.9026398658752441
1,N-gram,Rouge1,randomly_swapped_words_0.9,1.0,0.026516437530517578
1,N-gram,Rouge2,randomly_swapped_words_0.9,0.35745878568556494,0.041857004165649414
1,Graph-based,AutoSummENG,randomly_swapped_words_0.9,0.472301,17.24838614463806
1,Graph-based,MeMoG,randomly_swapped_words_0.9,0.472301,17.24838614463806
1,Meta,NPowER,randomly_swapped_words_0.9,0.450472,17.24838614463806
1,Embeddings-based,BERTScore,randomly_swapped_words_0.9,0.7002192735671997,0.9061267375946045
1,N-gram,Rouge1,removed_sentence_0.1,0.9375598340602064,0.039269447326660156
1,N-gram,Rouge2,removed_sentence_0.1,0.9183955739972336,0.03164362907409668
1,Graph-based,AutoSummENG,removed_sentence_0.1,0.826213,13.96445107460022
1,Graph-based,MeMoG,removed_sentence_0.1,0.826213,13.96445107460022
1,Meta,NPowER,removed_sentence_0.1,0.744070,13.96445107460022
1,Embeddings-based,BERTScore,removed_sentence_0.1,0.8866156339645386,0.8527946472167969
1,N-gram,Rouge1,removed_sentence_0.3,0.8275943119050417,0.045645952224731445
1,N-gram,Rouge2,removed_sentence_0.3,0.7958152110027037,0.03642439842224121
1,Graph-based,AutoSummENG,removed_sentence_0.3,0.646796,12.146081686019897
1,Graph-based,MeMoG,removed_sentence_0.3,0.646796,12.146081686019897
1,Meta,NPowER,removed_sentence_0.3,0.595229,12.146081686019897
1,Embeddings-based,BERTScore,removed_sentence_0.3,0.8803420066833496,0.7661542892456055
1,N-gram,Rouge1,removed_sentence_0.5,0.6297111416781292,0.02319049835205078
1,N-gram,Rouge2,removed_sentence_0.5,0.5869565217391304,0.03538680076599121
1,Graph-based,AutoSummENG,removed_sentence_0.5,0.455300,10.836633205413818
1,Graph-based,MeMoG,removed_sentence_0.5,0.455300,10.836633205413818
1,Meta,NPowER,removed_sentence_0.5,0.436368,10.836633205413818
1,Embeddings-based,BERTScore,removed_sentence_0.5,0.8497655987739563,0.7135465145111084
1,N-gram,Rouge1,removed_sentence_0.7,0.43753923414940366,0.02168726921081543
1,N-gram,Rouge2,removed_sentence_0.7,0.3974882260596546,0.027370452880859375
1,Graph-based,AutoSummENG,removed_sentence_0.7,0.281902,8.980903387069702
1,Graph-based,MeMoG,removed_sentence_0.7,0.281902,8.980903387069702
1,Meta,NPowER,removed_sentence_0.7,0.292520,8.980903387069702
1,Embeddings-based,BERTScore,removed_sentence_0.7,0.8199140429496765,0.6497447490692139
1,N-gram,Rouge1,removed_sentence_0.9,0.11550842643438743,0.022827625274658203
1,N-gram,Rouge2,removed_sentence_0.9,0.09623034665656374,0.012000083923339844
1,Graph-based,AutoSummENG,removed_sentence_0.9,0.076539,7.973522663116455
1,Graph-based,MeMoG,removed_sentence_0.9,0.076539,7.973522663116455
1,Meta,NPowER,removed_sentence_0.9,0.122155,7.973522663116455
1,Embeddings-based,BERTScore,removed_sentence_0.9,0.6925113201141357,0.5499799251556396
1,N-gram,Rouge1,repeated_sentence_0.1,0.9939577039274925,0.024957656860351562
1,N-gram,Rouge2,repeated_sentence_0.1,0.9901289282836422,0.04379701614379883
1,Graph-based,AutoSummENG,repeated_sentence_0.1,0.907967,15.256755590438843
1,Graph-based,MeMoG,repeated_sentence_0.1,0.907967,15.256755590438843
1,Meta,NPowER,repeated_sentence_0.1,0.811891,15.256755590438843
1,Embeddings-based,BERTScore,repeated_sentence_0.1,0.5714619755744934,1.015446424484253
1,N-gram,Rouge1,repeated_sentence_0.3,0.9939577039274925,0.03386735916137695
1,N-gram,Rouge2,repeated_sentence_0.3,0.9901289282836422,0.03139185905456543
1,Graph-based,AutoSummENG,repeated_sentence_0.3,0.906671,16.882324934005737
1,Graph-based,MeMoG,repeated_sentence_0.3,0.906671,16.882324934005737
1,Meta,NPowER,repeated_sentence_0.3,0.810816,16.882324934005737
1,Embeddings-based,BERTScore,repeated_sentence_0.3,0.5714619755744934,0.9919893741607666
1,N-gram,Rouge1,repeated_sentence_0.5,0.9939577039274925,0.032752037048339844
1,N-gram,Rouge2,repeated_sentence_0.5,0.9901289282836422,0.0321345329284668
1,Graph-based,AutoSummENG,repeated_sentence_0.5,0.906139,16.198074340820312
1,Graph-based,MeMoG,repeated_sentence_0.5,0.906139,16.198074340820312
1,Meta,NPowER,repeated_sentence_0.5,0.810375,16.198074340820312
1,Embeddings-based,BERTScore,repeated_sentence_0.5,0.5714619755744934,1.0938835144042969
1,N-gram,Rouge1,repeated_sentence_0.7,0.9939577039274925,0.03554654121398926
