source_doc,eval_type,eval_method,variant,score,duration
10024,Embeddings-based,LongDocFACTScore,inserted_sentence_0.9,-3.676578752696514,5.994797945022583
10024,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.1,-5.036966232153086,4.8803229331970215
10024,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.3,-6.942417113335578,5.057565450668335
10024,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.5,-7.988369843234187,5.671003818511963
10024,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.7,-8.263972500096196,5.872251272201538
10024,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.9,-8.454982223718062,6.1998419761657715
10024,Embeddings-based,LongDocFACTScore,removed_sentence_0.1,-2.3403140348057416,2.9793295860290527
10024,Embeddings-based,LongDocFACTScore,removed_sentence_0.3,-2.0922738580327285,2.5713136196136475
10024,Embeddings-based,LongDocFACTScore,removed_sentence_0.5,-2.157485920807411,2.087078094482422
10024,Embeddings-based,LongDocFACTScore,removed_sentence_0.7,-2.1695283783806696,1.4873294830322266
10024,Embeddings-based,LongDocFACTScore,removed_sentence_0.9,-2.63593544278826,0.9153640270233154
10024,Embeddings-based,LongDocFACTScore,repeated_sentence_0.1,-2.547701838943693,3.6557931900024414
10024,Embeddings-based,LongDocFACTScore,repeated_sentence_0.3,-2.5741213725672827,3.7349534034729004
10024,Embeddings-based,LongDocFACTScore,repeated_sentence_0.5,-2.5741213725672827,3.7396795749664307
10024,Embeddings-based,LongDocFACTScore,repeated_sentence_0.7,-2.5741213725672827,3.742464542388916
10024,Embeddings-based,LongDocFACTScore,repeated_sentence_0.9,-2.5741213725672827,3.747060775756836
10024,Embeddings-based,LongDocFACTScore,10023_1,-4.248039746525312,4.9997968673706055
10024,Embeddings-based,LongDocFACTScore,10025_1,-4.326641018076461,6.203368186950684
10024,Embeddings-based,LongDocFACTScore,10050_1,-5.032804833991187,2.6703972816467285
10024,Embeddings-based,LongDocFACTScore,10051_1,-5.071359280882211,3.0722711086273193
10024,Embeddings-based,LongDocFACTScore,10063_1,-5.499441766738892,1.5150563716888428
10024,Embeddings-based,LongDocFACTScore,10064_1,-5.320598752875077,1.36574387550354
