source_doc,type,method,variant,score
10,Graph-based,AutoSummENG,inserted_sentence,0.939594
10,Graph-based,MeMoG,inserted_sentence,0.939594
10,Graph-based,NPowER,inserted_sentence,0.838129
10,Embeddings-based,BERTScore,inserted_sentence,0.9698247909545898
10,N-gram,Rouge1,removed_sentence,1.0
10,N-gram,Rouge2,removed_sentence,1.0
10,Graph-based,AutoSummENG,removed_sentence,0.931084
10,Graph-based,MeMoG,removed_sentence,0.931084
10,Graph-based,NPowER,removed_sentence,0.831069
10,Embeddings-based,BERTScore,removed_sentence,0.9698247909545898
10,N-gram,Rouge1,repeated_sentence,0.6428571428571429
10,N-gram,Rouge2,repeated_sentence,0.6153846153846153
10,Graph-based,AutoSummENG,repeated_sentence,0.887586
10,Graph-based,MeMoG,repeated_sentence,0.887586
10,Graph-based,NPowER,repeated_sentence,0.794983
10,Embeddings-based,BERTScore,repeated_sentence,0.9698247909545898
10,N-gram,Rouge1,shuffled_words,1.0
10,N-gram,Rouge2,shuffled_words,0.125
10,Graph-based,AutoSummENG,shuffled_words,0.715431
10,Graph-based,MeMoG,shuffled_words,0.715431
10,Graph-based,NPowER,shuffled_words,0.652167
10,Embeddings-based,BERTScore,shuffled_words,0.7793217301368713
10,N-gram,Rouge1,100_1,0.6250000000000001
10,N-gram,Rouge2,100_1,0.42857142857142855
10,Graph-based,AutoSummENG,100_1,0.484255
10,Graph-based,MeMoG,100_1,0.484255
10,Graph-based,NPowER,100_1,0.460388
10,Embeddings-based,BERTScore,100_1,0.7892810702323914
10,N-gram,Rouge1,101_1,0.6666666666666666
10,N-gram,Rouge2,101_1,0.10526315789473685
10,Graph-based,AutoSummENG,101_1,0.510592
10,Graph-based,MeMoG,101_1,0.510592
10,Graph-based,NPowER,101_1,0.482237
10,Embeddings-based,BERTScore,101_1,0.828109860420227
10,N-gram,Rouge1,102_1,0.56
10,N-gram,Rouge2,102_1,0.26086956521739135
10,Graph-based,AutoSummENG,102_1,0.484271
10,Graph-based,MeMoG,102_1,0.484271
10,Graph-based,NPowER,102_1,0.460402
10,Embeddings-based,BERTScore,102_1,0.7890893816947937
10,N-gram,Rouge1,103_1,0.28571428571428575
10,N-gram,Rouge2,103_1,0.0
10,Graph-based,AutoSummENG,103_1,0.425381
10,Graph-based,MeMoG,103_1,0.425381
10,Graph-based,NPowER,103_1,0.411547
10,Embeddings-based,BERTScore,103_1,0.8103693127632141
10,N-gram,Rouge1,105_1,0.3846153846153846
10,N-gram,Rouge2,105_1,0.16666666666666666
10,Graph-based,AutoSummENG,105_1,0.503210
10,Graph-based,MeMoG,105_1,0.503210
10,Graph-based,NPowER,105_1,0.476113
10,Embeddings-based,BERTScore,105_1,0.8513941168785095
10,N-gram,Rouge1,106_1,0.56
10,N-gram,Rouge2,106_1,0.26086956521739135
10,Graph-based,AutoSummENG,106_1,0.457877
10,Graph-based,MeMoG,106_1,0.457877
10,Graph-based,NPowER,106_1,0.438505
10,Embeddings-based,BERTScore,106_1,0.792080819606781
10,N-gram,Rouge1,107_1,0.5714285714285714
10,N-gram,Rouge2,107_1,0.30769230769230765
10,Graph-based,AutoSummENG,107_1,0.360789
10,Graph-based,MeMoG,107_1,0.360789
10,Graph-based,NPowER,107_1,0.357963
10,Embeddings-based,BERTScore,107_1,0.769351601600647
10,N-gram,Rouge1,108_1,0.6153846153846153
10,N-gram,Rouge2,108_1,0.3333333333333333
10,Graph-based,AutoSummENG,108_1,0.506719
10,Graph-based,MeMoG,108_1,0.506719
10,Graph-based,NPowER,108_1,0.479024
10,Embeddings-based,BERTScore,108_1,0.8451668620109558
10,N-gram,Rouge1,110_1,0.5925925925925926
10,N-gram,Rouge2,110_1,0.4
10,Graph-based,AutoSummENG,110_1,0.406180
10,Graph-based,MeMoG,110_1,0.406180
10,Graph-based,NPowER,110_1,0.395619
10,Embeddings-based,BERTScore,110_1,0.8288043141365051
10,N-gram,Rouge1,111_1,0.5925925925925926
10,N-gram,Rouge2,111_1,0.24
10,Graph-based,AutoSummENG,111_1,0.500402
10,Graph-based,MeMoG,111_1,0.500402
10,Graph-based,NPowER,111_1,0.473783
10,Embeddings-based,BERTScore,111_1,0.7906150221824646
100,N-gram,Rouge1,source,1.0
100,N-gram,Rouge2,source,1.0
100,Graph-based,AutoSummENG,source,1.000000
100,Graph-based,MeMoG,source,1.000000
100,Graph-based,NPowER,source,0.888240
100,Embeddings-based,BERTScore,source,1.0
100,N-gram,Rouge1,deleted_words,1.0
100,N-gram,Rouge2,deleted_words,1.0
100,Graph-based,AutoSummENG,deleted_words,0.823046
100,Graph-based,MeMoG,deleted_words,0.823046
100,Graph-based,NPowER,deleted_words,0.741443
100,Embeddings-based,BERTScore,deleted_words,0.966488242149353
100,N-gram,Rouge1,inserted_sentence,1.0
100,N-gram,Rouge2,inserted_sentence,1.0
100,Graph-based,AutoSummENG,inserted_sentence,0.970033
100,Graph-based,MeMoG,inserted_sentence,0.970033
100,Graph-based,NPowER,inserted_sentence,0.863380
100,Embeddings-based,BERTScore,inserted_sentence,0.9801654815673828
100,N-gram,Rouge1,removed_sentence,1.0
100,N-gram,Rouge2,removed_sentence,1.0
100,Graph-based,AutoSummENG,removed_sentence,0.908070
100,Graph-based,MeMoG,removed_sentence,0.908070
100,Graph-based,NPowER,removed_sentence,0.811977
100,Embeddings-based,BERTScore,removed_sentence,0.882418155670166
100,N-gram,Rouge1,repeated_sentence,1.0
100,N-gram,Rouge2,repeated_sentence,1.0
100,Graph-based,AutoSummENG,repeated_sentence,0.647241
100,Graph-based,MeMoG,repeated_sentence,0.647241
100,Graph-based,NPowER,repeated_sentence,0.595598
100,Embeddings-based,BERTScore,repeated_sentence,0.9801654815673828
100,N-gram,Rouge1,shuffled_words,1.0
100,N-gram,Rouge2,shuffled_words,0.5
100,Graph-based,AutoSummENG,shuffled_words,0.747539
100,Graph-based,MeMoG,shuffled_words,0.747539
100,Graph-based,NPowER,shuffled_words,0.678804
100,Embeddings-based,BERTScore,shuffled_words,0.8096036911010742
100,N-gram,Rouge1,101_1,0.4210526315789474
100,N-gram,Rouge2,101_1,0.11764705882352942
100,Graph-based,AutoSummENG,101_1,0.466165
100,Graph-based,MeMoG,101_1,0.466165
100,Graph-based,NPowER,101_1,0.445381
