source_doc,eval_type,eval_method,variant,score,duration
10368,Model-based,FactCC,repeated_sentence_0.9,0.8511962,0.03316009044647217
10368,Model-based,FactCC,10023_1,0.996053,0.03316009044647217
10368,Model-based,FactCC,10024_1,0.99853206,0.041618943214416504
10368,Model-based,FactCC,10025_1,0.99630994,0.041618943214416504
10368,Model-based,FactCC,10050_1,0.9997211,0.041618943214416504
10368,Model-based,FactCC,10051_1,0.9998159,0.041618943214416504
10368,Model-based,FactCC,10063_1,0.94656205,0.041618943214416504
10368,Model-based,FactCC,10064_1,0.97914803,0.041618943214416504
10368,Model-based,FactCC,10065_1,0.9993511,0.041618943214416504
10368,Model-based,FactCC,10066_1,0.99926394,0.041618943214416504
10368,Model-based,FactCC,10067_1,0.9658908,0.04012632369995117
7495,Model-based,FactCC,source,0.0003425017,0.05174368619918823
7495,Model-based,FactCC,consecutively_swapped_words_0.1,0.60597396,0.05174368619918823
7495,Model-based,FactCC,consecutively_swapped_words_0.3,0.97576934,0.05174368619918823
7495,Model-based,FactCC,consecutively_swapped_words_0.5,0.99973816,0.05174368619918823
7495,Model-based,FactCC,consecutively_swapped_words_0.7,0.99980825,0.05174368619918823
7495,Model-based,FactCC,consecutively_swapped_words_0.9,0.9995283,0.05174368619918823
7495,Model-based,FactCC,deleted_words_0.1,0.89033574,0.05174368619918823
7495,Model-based,FactCC,deleted_words_0.3,0.9598147,0.05174368619918823
7495,Model-based,FactCC,deleted_words_0.5,0.9995435,0.04887056350708008
7495,Model-based,FactCC,deleted_words_0.7,0.99903774,0.04887056350708008
7495,Model-based,FactCC,deleted_words_0.9,0.9996829,0.04887056350708008
7495,Model-based,FactCC,inserted_sentence_0.1,0.9833399,0.04887056350708008
7495,Model-based,FactCC,inserted_sentence_0.3,0.9976908,0.04887056350708008
7495,Model-based,FactCC,inserted_sentence_0.5,0.99558794,0.04887056350708008
7495,Model-based,FactCC,inserted_sentence_0.7,0.98805594,0.04887056350708008
7495,Model-based,FactCC,inserted_sentence_0.9,0.99550974,0.04887056350708008
7495,Model-based,FactCC,randomly_swapped_words_0.1,0.999956,0.04738083481788635
7495,Model-based,FactCC,randomly_swapped_words_0.3,0.9999896,0.04738083481788635
7495,Model-based,FactCC,randomly_swapped_words_0.5,0.98951995,0.04738083481788635
7495,Model-based,FactCC,randomly_swapped_words_0.7,0.9994266,0.04738083481788635
7495,Model-based,FactCC,randomly_swapped_words_0.9,0.9995945,0.04738083481788635
7495,Model-based,FactCC,removed_sentence_0.1,0.024682121,0.04738083481788635
7495,Model-based,FactCC,removed_sentence_0.3,0.9605766,0.04738083481788635
7495,Model-based,FactCC,removed_sentence_0.5,0.9683944,0.04738083481788635
7495,Model-based,FactCC,removed_sentence_0.7,0.9985185,0.056767553091049194
7495,Model-based,FactCC,removed_sentence_0.9,1.8685858e-05,0.056767553091049194
7495,Model-based,FactCC,repeated_sentence_0.1,0.9845181,0.056767553091049194
7495,Model-based,FactCC,repeated_sentence_0.3,0.79111785,0.056767553091049194
7495,Model-based,FactCC,repeated_sentence_0.5,0.9120744,0.056767553091049194
7495,Model-based,FactCC,repeated_sentence_0.7,0.9120744,0.056767553091049194
7495,Model-based,FactCC,repeated_sentence_0.9,0.9120744,0.056767553091049194
7495,Model-based,FactCC,10023_1,0.9931583,0.056767553091049194
7495,Model-based,FactCC,10024_1,0.9913236,0.06049847602844238
7495,Model-based,FactCC,10025_1,0.99257267,0.06049847602844238
7495,Model-based,FactCC,10050_1,0.9987814,0.06049847602844238
7495,Model-based,FactCC,10051_1,0.99993014,0.06049847602844238
7495,Model-based,FactCC,10063_1,0.99722713,0.06049847602844238
7495,Model-based,FactCC,10064_1,0.9985153,0.06049847602844238
7495,Model-based,FactCC,10065_1,0.9997062,0.06049847602844238
7495,Model-based,FactCC,10066_1,0.9992964,0.06049847602844238
7495,Model-based,FactCC,10067_1,0.98020554,0.06030130386352539
19363,Model-based,FactCC,source,0.00013370771,0.04133906960487366
19363,Model-based,FactCC,consecutively_swapped_words_0.1,0.00018846597,0.04133906960487366
19363,Model-based,FactCC,consecutively_swapped_words_0.3,0.29878616,0.04133906960487366
19363,Model-based,FactCC,consecutively_swapped_words_0.5,0.0530205,0.04133906960487366
19363,Model-based,FactCC,consecutively_swapped_words_0.7,0.0062713525,0.04133906960487366
19363,Model-based,FactCC,consecutively_swapped_words_0.9,0.01340122,0.04133906960487366
19363,Model-based,FactCC,deleted_words_0.1,0.9998708,0.04133906960487366
19363,Model-based,FactCC,deleted_words_0.3,0.9985096,0.04133906960487366
19363,Model-based,FactCC,deleted_words_0.5,0.9996394,0.0415785014629364
19363,Model-based,FactCC,deleted_words_0.7,0.9999521,0.0415785014629364
19363,Model-based,FactCC,deleted_words_0.9,0.9999808,0.0415785014629364
19363,Model-based,FactCC,inserted_sentence_0.1,0.9973851,0.0415785014629364
19363,Model-based,FactCC,inserted_sentence_0.3,0.99989164,0.0415785014629364
19363,Model-based,FactCC,inserted_sentence_0.5,0.9972818,0.0415785014629364
19363,Model-based,FactCC,inserted_sentence_0.7,0.9966174,0.0415785014629364
19363,Model-based,FactCC,inserted_sentence_0.9,0.99994135,0.0415785014629364
19363,Model-based,FactCC,randomly_swapped_words_0.1,0.96635693,0.038835734128952026
19363,Model-based,FactCC,randomly_swapped_words_0.3,0.99769753,0.038835734128952026
19363,Model-based,FactCC,randomly_swapped_words_0.5,0.9961093,0.038835734128952026
19363,Model-based,FactCC,randomly_swapped_words_0.7,0.9985483,0.038835734128952026
19363,Model-based,FactCC,randomly_swapped_words_0.9,0.999688,0.038835734128952026
19363,Model-based,FactCC,removed_sentence_0.1,0.99986506,0.038835734128952026
19363,Model-based,FactCC,removed_sentence_0.3,0.9998023,0.038835734128952026
19363,Model-based,FactCC,removed_sentence_0.5,0.9998016,0.038835734128952026
19363,Model-based,FactCC,removed_sentence_0.7,0.97204,0.0408441424369812
19363,Model-based,FactCC,removed_sentence_0.9,6.229536e-05,0.0408441424369812
19363,Model-based,FactCC,repeated_sentence_0.1,0.0006450361,0.0408441424369812
19363,Model-based,FactCC,repeated_sentence_0.3,0.05745682,0.0408441424369812
19363,Model-based,FactCC,repeated_sentence_0.5,0.21794993,0.0408441424369812
19363,Model-based,FactCC,repeated_sentence_0.7,0.96848416,0.0408441424369812
19363,Model-based,FactCC,repeated_sentence_0.9,0.94496113,0.0408441424369812
19363,Model-based,FactCC,10023_1,0.9999331,0.0408441424369812
19363,Model-based,FactCC,10024_1,0.9999682,0.050569772720336914
19363,Model-based,FactCC,10025_1,0.9998203,0.050569772720336914
19363,Model-based,FactCC,10050_1,0.99928087,0.050569772720336914
19363,Model-based,FactCC,10051_1,0.99989724,0.050569772720336914
19363,Model-based,FactCC,10063_1,0.9993304,0.050569772720336914
19363,Model-based,FactCC,10064_1,0.9980095,0.050569772720336914
